goal,rank,games,type,weight,groups,notes
通关一层混沌回忆（≥第9层）,1,HSR,,,,
通关一层末日幻影（≥第3层）,1,HSR,,,,
在虚构叙事中获得≥60000分（≥第3层）,1,HSR,,,,
转晕黑塔,1,HSR,,,,"即一次转≥8圈，触发黑塔的特殊语音“额啊~”
需要在黑塔触发转圈前清空场上所有的怪，此时黑塔会把圈数存起来
但换波次又会清空黑塔圈数，所以需要一个类似浮烟的持续刷怪场景
黑塔把怪全部转死也会停止转圈，所以黑塔伤害不能太高"
使雪衣被动溢出6层,1,HSR,,0.0,,
一次引爆5只虫子且位于中心的虫子先爆炸,1,HSR,,,,"第三只虫子先爆炸
热知识：打小虫子比大虫子更容易完成这个任务（"
三月七独自完成一次满星抓猪,1,HSR,,,,"不借助其他角色的能力
可用游戏机"
不逃课完成一次满星躲激光,1,HSR,,,,"不能站安定点逃课
可用游戏机"
完成一间镇妖塔,1,HSR,,,,捉鬼小队活动
以太战线表演赛击败银狼,1,HSR,,,,
在评书奇谭任意一折获得≥80000分,1,HSR,,,,
培育三个不同种类的稀有猫猫糕,1,HSR,,,,
打赢一场贝洛伯格拳击赛,1,HSR,,,,
演武仪典梦境训练对阵史瓦罗时叠≥30层蓄势,1,HSR,,,,
在与萨缪尔女士折纸小鸟对局中消除≥700个水果,1,HSR,,,,以对局结束后结算界面上的“消除水果”统计为准
让一个敌人同时陷入纠缠和禁锢状态,1,HSR,,,,
在大世界累计击败9只小怪,1,HSR,,,,"进入战斗有几个敌人就算几只怪
黄泉秘技斩杀只算1只"
在大世界连续躲避一个近战敌人10次攻击,1,HSR,,,,
累计与8个垃圾桶交互,1,HSR,,,,"点击“垃圾桶”按钮，出现文字就算一次交互
两个桶摆在一起只有一个交互按钮的只算一次"
给电视机上的知更鸟小姐拍张照片,1,HSR,,0.0,,"匹诺康尼 -> “白日梦酒店”区域 -> “贵宾休息区”传送点 - 上楼左转进入自己的房间
看电视机上的轮播广告，用手机抓拍知更鸟"
从“断狱轮钥”传送点出发，离开幽囚狱（不能TP）,1,HSR,,,,
用主角完成对周本末日兽的最后一击,1,HSR,,,,
用火主完成对周本可可莉亚的最后一击,1,HSR,,,,"允许火主攻击触发别人的附带伤害来击败可可莉亚（非追加攻击）
但可可莉亚自己回合被火主dot跳死不算"
在模拟宇宙使一个角色10连动,1,HSR,,,,"回合、额外回合、施放终结技都被视为一动
即能够触发巡猎祝福“流岚追孽物”的连续行动判定
追加攻击不算。插入队友的追加攻击也不打断计数"
让我方4名角色全部被控,1,HSR,,,,
击败一个≥1000%增伤的王下一桶,1,HSR,,,,
在仙舟6上半给承露天人同时挂10个来自金鱼的减防,1,HSR,,,,打开面板查看为准
击败一个（错误）敌人,1,HSR,,,,
使我方身上的一个debuff叠到≥5层,1,HSR,,,,
在模拟宇宙中，打开4个宝箱,1,HSR,,0.25,宝箱,
在模拟宇宙中，打开3个豪华宝箱,1,HSR,,0.75,宝箱,"最高品质的宝箱。例如：
小游戏三级宝箱
混沌药箱
财富区域宝箱
过量转换三级宝箱"
让小三月领悟所有的进阶剑法,2,HSR,,0.0,,"初花习剑录
需求全属性≥500"
展开1个方程或解锁命途回响,2,HSR,,0.0,方程低难度,
持有2个展开的方程或解锁回响构音/回响交错,2,HSR,,0.5,方程低难度,基础的命途回响（也就是3祝福开启的那个）不算
持有3个展开的方程或解锁两个回响构音/回响交错,2,HSR,,0.5,方程低难度,基础的命途回响（也就是3祝福开启的那个）不算
权杖算力之和≥10000,2,HSR,,0.3,权杖算力,
权杖算力之和≥15000,2,HSR,,0.4,权杖算力,
单个权杖算力≥5000,2,HSR,,0.3,权杖算力,
单个权杖算力≥7000,2,HSR,,0.4,权杖算力,
在模拟宇宙中，单次攻击伤害≥200万（不可知域2千万）,2,HSR,,0.5,单次伤害,"以右侧“总伤害”数字为准
由秒杀造成的伤害不算"
在模拟宇宙的事件UI中看到“阿哈”二字,2,HSR,,0.0,,包括：阿哈玩偶、酒馆
进入一个（其二）或以上的事件,2,HSR,,0.5,其N事件,
进入一个（其三）或以上的事件,2,HSR,,0.5,其N事件,
在模拟宇宙中累计击败三只扑满,2,HSR,,,,进入战斗并成功击杀的扑满，冒险抓猪不算
在模拟宇宙中，不带秒杀完成2场遭遇战,2,HSR,,,,"只要秒杀造成了伤害，不管秒没秒掉都算携带秒杀
只要在“战斗”和“首领”以外的区域触发的战斗就被视为遭遇战，三只小猪除外"
≥7000攻击,2,HSR,,,,以面板上显示的数字为准
≥300速度,2,HSR,,,,以面板上显示的数字为准
≥500暴伤,2,HSR,,,,以面板上显示的数字为准
持有≥2个负面奇物,2,HSR,,0.4,奇物数量,
持有≥2个损坏奇物,2,HSR,,0.3,奇物数量,
拥有≥10个同命途祝福,2,HSR,,,,
使敌方身上的纠缠层数之和≥20,2,HSR,,,,
用全4星阵容完成一个战斗类任务,2,HSR,,,,"需要进入战斗的任务
比如造成XX伤害，叠XX层纠缠，击败XX等
也包括“面板数值≥X”类的任务
通关XX的任务只需要最后一场战斗使用全4星"
击败一个（完整）敌人,2,HSR,,,完整敌人,
宇宙碎片≥1000,2,HSR,,0.6,宇宙碎片≥,
会心≥8层,2,HSR,,,,
战意≥35层,2,HSR,,,,
在模拟宇宙DLC中使BOSS陷入离神状态,2,HSR,,,,"带有BOSS血条的敌人
差分宇宙也属于模拟宇宙DLC"
玩坏一个鲁伯特奇物,3,HSR,,,,触发其损毁/丢弃条件
持有≥4个负面奇物,3,HSR,,0.2,奇物数量,
持有≥4个损坏奇物,3,HSR,,0.1,奇物数量,
权杖算力之和≥20000,3,HSR,,0.3,权杖算力,
单个权杖算力≥9000,3,HSR,,0.3,权杖算力,
在模拟宇宙中，单次攻击伤害≥300万（不可知域3千万）,3,HSR,,0.5,单次伤害,"以右侧“总伤害”数字为准
由秒杀造成的伤害不算"
在模拟宇宙中，使一个敌人带有≥14个debuff,3,HSR,,,,打开面板查看游戏自带的负面计数为准
在不击败鸭鸭的情况下击败可可莉亚（完整）,3,HSR,,,完整敌人,
集齐全部命途特性,3,HSR,,,,"共9个
反震，离神，怀疑，珠露，会心，战意，回味，孢子，罐中脑"
在BOSS转阶段后发动攻击之前，先对其累计发动12次攻击,3,HSR,,,,"带有BOSS血条的敌人
BOSS使用强化或召唤之类的技能不被视为攻击
次数打满前使BOSS再次转阶段，则需重新计数"
宇宙碎片≥1500,3,HSR,,0.3,宇宙碎片≥,
宇宙碎片=0，开局除外,3,HSR,,0.0,,从宇宙碎片大于0开始，到归0结束
在模拟宇宙DLC中，仅1人存活时击败BOSS,3,HSR,,0.0,,"带有BOSS血条的敌人
可以阵亡队友，当然单通也可以（"
通关差分宇宙,4,HSR,,,,
通关黄金与机械,4,HSR,,,,
通关寰宇蝗灾,4,HSR,,0.5,通关寰宇蝗灾,
用繁育以外的命途通关寰宇蝗灾,4,HSR,,0.5,通关寰宇蝗灾,
累计开启3个金方程或5个回响构音/回响交错,4,HSR,,,,"可以分成多把完成
最基础的命途回响（也就是3个祝福开启的）不算"
通关不可知域,4,HSR,,0.3,通关不可知域,不需要进入第四位面
通关不可知域第四位面,4,HSR,,0.4,通关不可知域,
在不可知域中击败呼雷,4,HSR,,0.3,通关不可知域,
